Date,Price,High,Low,Close**,Volume,Market Cap
2-6-2015,222.89,226.42,222.42,225.8,"20,459,000","3,170,729,984"
3-6-2015,225.74,227.4,223.93,225.87,"17,752,400","3,212,009,984"
4-6-2015,225.77,226.58,224.05,224.32,"14,728,100","3,213,319,936"
5-6-2015,224.15,225.97,223.18,224.95,"18,056,500","3,191,079,936"
6-6-2015,225.01,225.72,224.38,225.62,"11,131,500","3,203,980,032"
7-6-2015,225.6,226.19,222.65,222.88,"13,318,400","3,213,390,080"
8-6-2015,222.88,229.46,222.84,228.49,"23,378,400","3,175,520,000"
9-6-2015,228.54,230.95,227.93,229.05,"28,353,100","3,257,050,112"
10-6-2015,228.99,229.78,228.01,228.8,"15,904,800","3,264,420,096"
11-6-2015,228.85,230.29,228.77,229.71,"14,416,000","3,263,389,952"
12-6-2015,229.71,231.06,229.31,229.98,"14,017,700","3,276,290,048"
13-6-2015,229.92,232.65,229.21,232.4,"13,305,300","3,280,179,968"
14-6-2015,232.44,234.86,232,233.54,"12,165,900","3,317,080,064"
15-6-2015,233.42,237.84,233.42,236.82,"19,912,100","3,331,930,112"
16-6-2015,236.76,251.74,236.12,250.9,"41,612,000","3,380,499,968"
17-6-2015,250.82,256.85,246.48,249.28,"43,858,400","3,581,959,936"
18-6-2015,249.43,252.11,244.13,249.01,"30,980,200","3,563,010,048"
19-6-2015,249.04,250.98,243.79,244.61,"23,965,300","3,558,500,096"
20-6-2015,244.53,245.83,240.63,245.21,"20,608,100","3,494,909,952"
21-6-2015,245.1,245.22,241.88,243.94,"10,600,900","3,503,879,936"
22-6-2015,243.97,247.92,243.78,246.99,"17,692,500","3,488,460,032"
23-6-2015,246.93,247.3,243.13,244.3,"15,108,700","3,531,699,968"
24-6-2015,244.28,244.34,240.51,240.51,"17,344,900","3,494,729,984"
25-6-2015,240.37,243.33,240.37,242.8,"16,133,100","3,439,620,096"
26-6-2015,242.6,243.75,241.55,243.59,"13,983,500","3,472,580,096"
27-6-2015,243.55,251.34,243.12,250.99,"20,488,600","3,487,059,968"
28-6-2015,250.96,251.17,247.43,249.01,"15,137,600","3,593,900,032"
29-6-2015,248.72,257.17,248.58,257.06,"34,742,900","3,562,789,888"
30-6-2015,257.04,267.87,255.95,263.07,"44,533,800","3,682,789,888"
1-7-2015,263.35,265.17,255.77,258.62,"27,029,800","3,774,139,904"
2-7-2015,258.55,261.63,254.12,255.41,"21,551,900","3,706,319,872"
3-7-2015,255.46,257.08,253.51,256.34,"19,033,800","3,662,970,112"
4-7-2015,256.49,261.46,254.2,260.89,"15,620,400","3,678,799,872"
5-7-2015,260.8,274.51,258.7,271.91,"44,156,100","3,741,669,888"
6-7-2015,271.11,277.42,267.6,269.03,"49,154,800","3,890,429,952"
7-7-2015,269.96,271.34,264.83,266.21,"28,857,600","3,875,219,968"
8-7-2015,265.98,272.97,264.39,270.79,"36,980,200","3,818,970,112"
9-7-2015,270.83,272.33,267.09,269.23,"40,301,200","3,889,619,968"
10-7-2015,269.16,294.59,268.8,284.89,"100,390,000","3,866,510,080"
11-7-2015,284.88,298.51,283.53,293.11,"41,109,900","4,093,499,904"
12-7-2015,293.14,314.39,292.51,310.87,"56,405,000","4,213,280,000"
13-7-2015,310.83,310.95,281.01,292.05,"62,053,900","4,468,539,904"
14-7-2015,292.03,296.15,286.64,287.46,"28,727,200","4,199,450,112"
15-7-2015,288.05,293.25,285.37,285.83,"27,486,600","4,143,119,872"
16-7-2015,286.04,291.18,275.24,278.09,"49,482,600","4,115,409,920"
17-7-2015,278.09,280.28,272.04,279.47,"27,591,400","4,001,949,952"
18-7-2015,279.33,282.53,274.08,274.9,"25,187,100","4,020,819,968"
19-7-2015,274.77,275.67,272.51,273.61,"15,332,500","3,956,140,032"
20-7-2015,273.5,278.98,272.96,278.98,"22,711,400","3,938,929,920"
21-7-2015,278.88,280.55,275.42,275.83,"22,930,700","4,017,540,096"
22-7-2015,275.66,277.67,274.38,277.22,"19,389,800","3,971,960,064"
23-7-2015,277.34,278.11,275.72,276.05,"18,531,300","3,997,289,984"
24-7-2015,276.01,289.25,275.25,288.28,"37,199,400","3,978,990,080"
25-7-2015,288.16,290.73,286,288.7,"20,662,200","4,155,500,032"
26-7-2015,288.64,293.05,287.71,292.69,"16,032,300","4,163,470,080"
27-7-2015,292.64,297.77,287.45,293.62,"30,592,000","4,222,210,048"
28-7-2015,293.63,296.65,293.42,294.43,"25,453,600","4,237,649,920"
29-7-2015,294.48,294.54,288.78,289.59,"24,672,600","4,250,939,904"
30-7-2015,289.1,290.13,286.57,287.72,"21,635,800","4,174,360,064"
31-7-2015,287.7,288.96,282.34,284.65,"23,629,100","4,155,010,048"
1-8-2015,284.69,284.93,278.11,281.6,"18,995,000","4,112,610,048"
2-8-2015,280.45,283.03,277.53,282.61,"17,722,200","4,052,470,016"
3-8-2015,282.81,285.47,280.23,281.23,"21,474,100","4,087,610,112"
4-8-2015,281.23,285.71,281.23,285.22,"21,908,700","4,065,870,080"
5-8-2015,284.85,285.5,281.49,281.88,"20,128,000","4,119,190,016"
6-8-2015,281.91,281.91,278.4,278.58,"18,792,100","4,077,600,000"
7-8-2015,278.74,280.39,276.37,279.58,"42,484,800","4,032,819,968"
8-8-2015,279.74,279.93,260.71,261,"58,533,000","4,048,270,080"
9-8-2015,261.12,267,260.47,265.08,"23,789,600","3,779,770,112"
10-8-2015,265.48,267.03,262.6,264.47,"20,979,400","3,843,849,984"
11-8-2015,264.34,270.39,264.09,270.39,"25,433,900","3,828,499,968"
12-8-2015,270.6,270.67,265.47,266.38,"26,815,400","3,920,209,920"
13-8-2015,266.18,266.23,262.84,264.08,"27,685,500","3,857,090,048"
14-8-2015,264.13,267.47,261.48,265.68,"27,091,200","3,828,339,968"
15-8-2015,265.53,266.67,261.3,261.55,"19,321,100","3,849,530,112"
16-8-2015,261.87,262.44,257.04,258.51,"29,717,000","3,797,329,920"
17-8-2015,258.49,260.51,257.12,257.98,"21,617,900","3,749,260,032"
18-8-2015,257.93,257.99,211.08,211.08,"42,147,200","3,742,020,096"
19-8-2015,225.67,237.41,222.77,226.68,"60,869,200","3,274,860,032"
20-8-2015,226.9,237.37,226.9,235.35,"32,275,000","3,293,570,048"
21-8-2015,235.35,236.43,231.72,232.57,"23,173,800","3,417,200,128"
22-8-2015,232.66,234.96,222.7,230.39,"23,205,900","3,379,049,984"
23-8-2015,230.38,232.71,225.58,228.17,"18,406,600","3,346,759,936"
24-8-2015,228.11,228.14,210.44,210.49,"59,220,700","3,314,639,872"
25-8-2015,210.07,226.32,199.57,221.61,"61,089,200","3,053,250,048"
26-8-2015,222.08,231.18,220.2,225.83,"31,808,000","3,228,539,904"
27-8-2015,226.05,228.64,223.68,224.77,"21,905,400","3,287,219,968"
28-8-2015,224.7,235.22,220.93,231.4,"31,336,600","3,268,369,920"
29-8-2015,231.55,233.22,227.33,229.78,"17,142,500","3,368,880,128"
30-8-2015,229.9,232.07,226.25,228.76,"19,412,600","3,345,740,032"
31-8-2015,229.11,231.96,225.91,230.06,"20,710,700","3,335,219,968"
1-9-2015,230.26,231.22,226.86,228.12,"20,575,200","3,352,760,064"
2-9-2015,228.03,230.58,226.48,229.28,"18,760,400","3,321,179,904"
